Advisor ID,Client Name,Client ID,CreditScore,Gender,Age,Advisor_Age,Retired,Children(Y/N),Tenure,Recency,Frequency,Monetory, Small systematic Risk,Annual Return,Excess Return,Systematic Risk,NumberOfClients,PortfolioSize,Financial_lit,rating_trust,other_advisors,rating_knowledge,rating_comm,rating_avail,InvestmentGoal_Education,InvestmentGoal_Retirement,InvestmentGoal_Short-term,ModeCommunication_email,ModeCommunication_personal,ModeCommunication_phone,ModeCommunication_skype, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,REI
145,GJGK,18,587,1,45,51,0,0,6,5,5,2,0.5,0.138,0.013,1.04,16,158684.81,3,3,1,3,4,2,0,0,1,0,1,0,0,0,0,0.5,0,0,0.5,0.005
116,HJKHK,19,726,0,24,51,0,1,6,5,2,2,0.5,0.101,0.003,1.12,13,54724.03,5,3,0,3,3,1,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0.028
98,DXC,20,732,1,41,48,0,1,8,2,4,1,0.5,0.093,0.001,1.01,14,170886.17,4,5,1,3,2,4,1,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.006
49,BN,21,636,0,32,42,0,1,8,2,5,2,0,0.192,0.024,1.08,18,138555.46,3,4,0,1,4,2,0,1,0,0,1,0,0,0.333,0.333,0.333,0,0,0,0.003
64,ABC,22,510,0,38,54,0,1,4,3,1,1,0,0.183,0.023,0.98,5,118913.53,5,1,1,2,3,2,1,0,0,1,0,0,0,0.333,0.333,0,0.333,0,0,0.993
7,DEF,23,669,1,46,60,0,0,3,5,5,1,0,0.164,0.017,1.14,23,8487.75,5,4,1,3,2,2,1,0,0,0,1,0,0,0.333,0,0.333,0.333,0,0,0.007
67,GHI,24,846,0,38,51,0,0,5,4,2,4,0,0.184,0.022,1.07,15,187616.16,4,5,1,3,1,4,0,1,0,1,0,0,0,0,0.333,0.333,0.333,0,0,0.003
87,JKL,25,577,1,25,35,0,0,3,3,4,5,0,0.147,0.015,0.95,6,124508.29,4,4,0,2,3,2,0,0,1,0,1,0,0,0.333,0.333,0,0,0.333,0,0
81,PQR,26,756,1,36,50,0,0,2,5,5,5,0,0.168,0.017,1.17,14,170041.95,3,3,0,2,3,2,0,1,0,0,0,1,0,0.333,0,0.333,0,0.333,0,0.001
66,TSY,27,571,1,44,36,0,1,9,3,2,1,0,0.146,0.014,0.99,20,38433.35,2,3,1,2,3,1,0,1,0,0,0,1,0,0,0.333,0.333,0,0.333,0,0.027
110,UJH,28,574,0,43,49,0,1,3,5,5,5,0,0.127,0.01,0.99,19,100187.43,5,4,0,3,1,3,0,1,0,0,0,0,1,0.333,0,0,0.333,0.333,0,0
2,GJGK,29,411,1,29,45,0,0,0,3,4,3,0,0.124,0.007,1.09,6,53483.21,5,5,1,1,4,1,0,1,0,0,1,0,0,0,0.333,0,0.333,0.333,0,0.007
67,HJKHK,30,591,0,39,51,0,1,3,1,2,3,0,0.138,0.012,1.04,7,140469.38,4,1,1,2,5,4,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0,0.999
134,DXC,31,533,1,36,42,0,0,7,5,5,2,0.333,0.17,0.024,0.82,6,156731.91,3,5,1,2,4,3,0,0,1,0,0,1,0,0.333,0.333,0,0,0,0.333,0
14,BN,32,553,1,41,41,0,0,9,4,3,5,0.333,0.135,0.012,1.07,25,81898.81,2,4,0,1,4,3,1,0,0,0,0,1,0,0.333,0,0.333,0,0,0.333,0
20,ABC,33,520,0,42,36,0,0,6,4,2,2,0.333,0.185,0.024,0.98,17,34410.55,3,4,1,3,3,3,0,0,1,1,0,0,0,0,0.333,0.333,0,0,0.333,0.006
116,DEF,34,722,0,29,51,0,0,9,4,5,2,0.333,0.127,0.011,0.94,23,142033.07,4,3,1,2,2,5,0,0,1,0,1,0,0,0.333,0,0,0.333,0,0.333,0.004
33,GHI,35,475,0,45,35,0,0,0,1,1,1,0.333,0.156,0.017,0.99,5,27822.99,4,2,0,3,5,2,0,0,1,0,0,1,0,0,0.333,0,0.333,0,0.333,0.999
83,JKL,36,490,1,31,60,0,0,3,4,2,3,0.333,0.157,0.016,1.07,22,114066.77,5,3,1,2,1,1,0,0,1,0,1,0,0,0,0,0.333,0.333,0,0.333,0.017
121,PQR,37,804,1,33,50,0,0,7,5,4,5,0.333,0.138,0.014,0.96,8,98453.45,5,3,1,1,5,2,1,0,0,1,0,0,0,0.333,0,0,0,0.333,0.333,0
140,TSY,38,850,1,36,45,0,1,7,4,5,4,0.333,0.138,0.012,0.97,14,40812.9,2,4,1,2,5,1,0,1,0,0,0,1,0,0,0.333,0,0,0.333,0.333,0
15,UJH,39,582,1,41,47,0,1,6,2,2,1,0.333,0.141,0.014,0.95,22,178074.04,4,3,0,3,5,5,0,0,1,0,0,1,0,0,0,0.333,0,0.333,0.333,0.076
146,GJGK,40,472,1,40,46,0,0,4,2,5,3,0.333,0.09,0,1.13,24,70154.22,3,3,0,2,4,5,0,1,0,0,1,0,0,0,0,0,0.333,0.333,0.333,0.011
22,HJKHK,41,465,0,51,58,0,0,8,3,1,4,0,0.191,0.024,1.06,6,181297.65,3,3,1,1,2,2,1,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0.97
82,DXC,42,556,0,61,53,0,1,2,2,3,5,0,0.17,0.019,1.02,8,94153.83,5,4,0,1,5,5,1,0,0,0,0,0,1,0.25,0.25,0.25,0,0.25,0,0.005
53,BN,43,834,0,49,58,0,1,2,2,2,2,0,0.15,0.015,0.98,18,194365.76,5,1,1,3,1,1,0,1,0,0,1,0,0,0.25,0.25,0,0.25,0.25,0,0.987
24,ABC,44,660,0,61,58,0,1,5,5,3,1,0,0.153,0.015,1.08,6,158338.39,4,3,1,2,1,5,1,0,0,0,1,0,0,0.25,0,0.25,0.25,0.25,0,0.011
37,DEF,45,776,0,32,43,0,0,4,3,3,2,0,0.152,0.014,1.05,14,126517.46,4,3,1,2,1,3,0,0,1,0,0,1,0,0,0.25,0.25,0.25,0.25,0,0.016
71,GHI,46,829,0,27,39,0,1,9,1,2,1,0.25,0.177,0.023,0.97,12,119708.21,5,3,0,2,5,3,1,0,0,0,0,0,1,0.25,0.25,0.25,0,0,0.25,0.953
17,JKL,47,637,0,39,57,0,0,9,3,2,5,0.25,0.17,0.023,0.86,21,117622.8,4,3,0,3,1,4,0,1,0,1,0,0,0,0.25,0.25,0,0.25,0,0.25,0.692
52,PQR,48,550,1,38,60,0,1,2,2,3,4,0.25,0.154,0.017,1.04,21,90878.13,4,3,1,1,1,1,0,1,0,1,0,0,0,0.25,0,0.25,0.25,0,0.25,0.013
131,TSY,49,776,0,37,47,0,0,2,2,4,5,0.25,0.179,0.022,1,15,194099.12,2,5,1,1,4,3,0,1,0,0,0,0,1,0,0.25,0.25,0.25,0,0.25,0.001
143,UJH,50,698,1,44,58,0,1,10,5,4,3,0.25,0.163,0.021,0.83,19,198059.16,3,3,1,1,4,2,0,1,0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.006
92,GJGK,51,585,1,36,41,0,1,5,3,2,2,0.25,0.153,0.016,1.03,22,86424.57,2,3,0,1,3,5,0,0,1,0,1,0,0,0.25,0,0.25,0,0.25,0.25,0.013
69,HJKHK,52,788,0,33,40,0,0,5,3,4,5,0.25,0.164,0.019,0.93,13,116978.19,3,4,1,1,2,5,1,0,0,0,0,1,0,0,0.25,0.25,0,0.25,0.25,0
91,DXC,53,655,1,41,45,0,1,8,2,1,5,0.25,0.129,0.012,0.89,20,164040.94,5,3,1,3,4,5,1,0,0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.967
71,BN,54,601,1,42,45,0,1,1,1,1,5,0.25,0.14,0.012,1.01,5,40014.76,3,2,1,3,1,5,0,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,0.999
85,ABC,55,619,1,43,46,0,0,1,4,5,4,0.25,0.138,0.013,0.97,10,113410.49,2,5,1,1,1,4,0,0,1,1,0,0,0,0,0,0.25,0.25,0.25,0.25,0.001
1,DEF,56,656,1,45,41,0,0,5,5,4,4,0,0.172,0.02,1.01,18,87107.57,5,3,0,3,1,1,1,0,0,0,1,0,0,0.2,0.2,0.2,0.2,0.2,0,0.005
128,GHI,57,725,1,19,46,0,0,0,3,4,5,0.2,0.181,0.023,0.96,6,45613.75,3,3,1,2,2,4,1,0,0,1,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0.013
53,JKL,58,511,0,66,56,1,0,4,1,1,1,0.2,0.171,0.022,0.94,19,1643.11,5,1,0,3,4,4,0,0,1,0,0,0,1,0.2,0.2,0.2,0,0.2,0.2,0.996
119,PQR,59,614,1,51,44,0,1,4,3,2,5,0.2,0.153,0.018,0.88,17,46775.28,3,5,0,2,1,5,0,0,1,0,0,1,0,0.2,0.2,0,0.2,0.2,0.2,0.038
86,TSY,60,742,1,35,57,0,0,5,5,4,4,0.2,0.156,0.018,0.97,6,84509.57,4,3,1,1,2,5,1,0,0,0,0,0,1,0.2,0,0.2,0.2,0.2,0.2,0.001
82,UJH,61,687,0,27,37,0,1,9,4,5,1,0.2,0.161,0.018,0.98,21,126494.82,2,3,1,2,1,1,0,1,0,1,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.003
10,GJGK,62,555,1,33,47,0,1,1,5,4,2,0.167,0.173,0.022,0.91,8,178798.13,3,5,1,3,1,1,0,0,1,0,0,1,0,0.167,0.167,0.167,0.167,0.167,0.167,0.001
9,HJKHK,63,684,1,56,35,0,1,8,2,5,1,0,0.139,0.01,1.33,15,99398.36,5,5,1,2,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0.009
110,DXC,64,603,1,26,51,0,0,4,2,4,4,0,0.143,0.01,1.17,13,92840.67,4,4,0,2,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0.003
23,BN,65,751,0,36,54,0,0,6,5,5,2,0,0.173,0.018,1.3,15,27758.36,5,4,0,3,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0
85,ABC,66,581,0,34,60,0,1,1,3,3,5,0,0.096,-0.002,1.39,7,110431.51,5,4,0,2,2,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0.008
88,DEF,67,735,1,43,44,0,0,10,4,3,3,0,0.096,0.001,1.04,11,196673.28,3,3,0,2,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0.007
64,GHI,68,661,0,35,47,0,0,5,3,5,2,1,0.07,-0.005,1.1,20,113656.85,5,4,1,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0.005
88,JKL,69,675,0,21,52,0,1,8,3,4,5,0,0.195,0.026,0.97,10,18203,3,4,0,1,1,1,0,0,1,1,0,0,0,0.5,0.5,0,0,0,0,0.006
116,PQR,70,738,1,58,37,0,1,2,1,2,5,0,0.164,0.016,1.32,20,28373.86,3,2,0,2,5,1,0,1,0,0,0,1,0,0.5,0,0.5,0,0,0,0.992
132,TSY,71,813,1,29,59,0,1,6,4,2,2,0,0.185,0.022,1.06,22,33953.87,3,4,0,3,1,1,0,1,0,1,0,0,0,0,0.5,0.5,0,0,0,0.005
72,UJH,72,657,0,37,60,0,0,0,4,5,2,0,0.15,0.015,1.05,17,44203.55,4,4,0,1,5,5,0,0,1,0,1,0,0,0.5,0,0,0.5,0,0,0
45,GJGK,73,604,0,25,37,0,1,5,2,5,5,0,0.159,0.015,1.17,6,58426.81,4,3,1,2,5,4,1,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0.015
34,HJKHK,74,519,1,36,50,0,1,9,5,4,1,0,0.17,0.018,1.16,12,145562.4,3,3,0,2,1,3,0,0,1,0,0,1,0,0,0,0.5,0.5,0,0,0.002
44,DXC,75,735,0,21,36,0,1,1,3,2,4,0,0.14,0.011,1.09,11,22388,3,4,1,2,4,3,0,0,1,1,0,0,0,0.5,0,0,0,0.5,0,0.025
3,BN,76,664,1,55,37,0,0,8,5,5,5,0,0.123,0.008,1.01,6,139161.64,5,5,1,1,1,2,1,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0.002
50,ABC,77,678,0,32,42,0,1,9,5,2,1,0,0.145,0.013,1.07,21,148210.64,2,5,1,2,3,3,1,0,0,0,0,1,0,0,0,0.5,0,0.5,0,0.001
9,DEF,78,757,1,33,46,0,0,5,2,5,1,0,0.09,-0.001,1.15,15,194239.63,5,4,1,3,4,2,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0,0
116,GHI,79,416,0,41,44,0,1,10,2,5,5,0.5,0.118,0.009,0.97,21,98301.61,2,4,0,3,4,1,1,0,0,0,1,0,0,0.5,0,0,0,0,0.5,0.004
10,JKL,80,665,0,34,36,0,1,1,3,3,1,0.5,0.154,0.017,0.99,5,171413.66,3,5,0,2,4,4,1,0,0,0,1,0,0,0,0.5,0,0,0,0.5,0.001
27,PQR,81,777,0,32,54,0,1,2,3,1,3,0.5,0.138,0.013,1.04,24,136458.19,5,1,0,2,2,4,0,1,0,0,0,0,1,0,0,0.5,0,0,0.5,0.995
127,TSY,82,543,0,36,57,0,1,3,3,5,3,0.5,0.101,0.003,1.12,16,26019.59,5,4,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0.003
45,UJH,83,506,0,34,57,0,0,4,5,3,2,0.5,0.093,0.001,1.01,23,159235.29,2,5,1,3,1,4,0,1,0,0,1,0,0,0,0,0,0,0.5,0.5,0.002
14,GJGK,84,493,0,46,56,0,0,4,3,5,3,0,0.192,0.024,1.08,21,1907.66,4,3,0,2,1,5,0,0,1,1,0,0,0,0.333,0.333,0.333,0,0,0,0.043
79,HJKHK,85,652,0,75,49,1,1,10,3,2,3,0,0.183,0.023,0.98,16,114675.75,4,5,1,1,3,2,0,0,1,0,0,0,1,0.333,0.333,0,0.333,0,0,0.022
126,DXC,86,750,1,22,39,0,0,3,1,2,1,0,0.164,0.017,1.14,18,128643.35,3,1,1,3,1,2,0,0,1,0,0,0,1,0.333,0,0.333,0.333,0,0,0.996
77,BN,87,729,1,30,43,0,1,9,3,5,2,0,0.184,0.022,1.07,23,151869.35,2,5,1,1,4,4,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0,0,0.001
28,ABC,88,646,0,46,37,0,0,4,3,1,4,0,0.147,0.015,0.95,10,93251.42,5,1,0,1,1,3,0,1,0,0,0,0,1,0.333,0.333,0,0,0.333,0,1
27,DEF,89,635,0,28,35,0,1,3,2,2,4,0,0.168,0.017,1.17,21,156791.36,4,3,1,1,3,5,0,1,0,0,0,0,1,0.333,0,0.333,0,0.333,0,0.141
28,GHI,90,647,0,44,46,0,0,5,1,2,4,0,0.146,0.014,0.99,24,174205.22,5,2,1,1,1,3,1,0,0,1,0,0,0,0,0.333,0.333,0,0.333,0,0.999
103,JKL,91,808,1,45,54,0,0,7,2,5,2,0,0.127,0.01,0.99,18,147132.46,4,4,0,3,2,1,1,0,0,0,0,1,0,0.333,0,0,0.333,0.333,0,0.001
46,PQR,92,524,0,36,60,0,1,10,2,3,5,0,0.124,0.007,1.09,6,109614.57,3,4,1,2,2,1,1,0,0,0,0,1,0,0,0.333,0,0.333,0.333,0,0.011
107,TSY,93,769,1,29,60,0,1,8,4,5,2,0,0.138,0.012,1.04,23,172290.61,2,3,0,3,1,2,0,0,1,0,1,0,0,0,0,0.333,0.333,0.333,0,0
17,UJH,94,730,1,42,60,0,0,4,3,4,4,0.333,0.17,0.024,0.82,19,85982.47,4,3,0,1,2,3,0,0,1,0,0,1,0,0.333,0.333,0,0,0,0.333,0.01
95,GJGK,95,515,1,35,59,0,0,10,5,3,5,0.333,0.135,0.012,1.07,7,121277.78,3,3,0,2,1,2,1,0,0,0,0,0,1,0.333,0,0.333,0,0,0.333,0.002
55,HJKHK,96,773,1,41,54,0,0,9,2,2,5,0.333,0.185,0.024,0.98,11,64595.25,2,3,1,2,4,4,0,1,0,1,0,0,0,0,0.333,0.333,0,0,0.333,0.018
106,DXC,97,814,1,29,43,0,0,8,2,3,3,0.333,0.127,0.011,0.94,20,197276.13,4,4,0,2,3,3,0,1,0,0,0,0,1,0.333,0,0,0.333,0,0.333,0.003
60,BN,98,710,1,22,56,0,1,8,5,5,3,0.333,0.156,0.017,0.99,17,99645.04,4,5,1,2,2,2,1,0,0,0,0,1,0,0,0.333,0,0.333,0,0.333,0
57,ABC,99,413,1,34,53,0,0,9,2,2,3,0.333,0.157,0.016,1.07,5,6534.18,2,5,1,3,3,3,0,1,0,0,0,1,0,0,0,0.333,0.333,0,0.333,0.004
123,DEF,100,665,0,40,50,0,0,6,5,4,5,0.333,0.138,0.014,0.96,10,161848.03,3,5,0,3,4,4,0,0,1,1,0,0,0,0.333,0,0,0,0.333,0.333,0
45,GHI,101,623,0,44,56,0,1,6,4,2,1,0.333,0.138,0.012,0.97,6,167162.43,3,4,0,3,1,3,1,0,0,0,0,0,1,0,0.333,0,0,0.333,0.333,0.009
46,JKL,102,738,1,31,54,0,1,9,4,2,3,0.333,0.141,0.014,0.95,23,41970.72,5,4,0,2,2,2,1,0,0,0,0,0,1,0,0,0.333,0,0.333,0.333,0.002
34,PQR,103,528,1,36,47,0,1,7,5,5,5,0.333,0.09,0,1.13,15,60536.56,3,5,0,3,1,3,1,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0
36,TSY,104,670,0,65,36,1,0,1,3,1,3,0,0.191,0.024,1.06,23,177655.68,4,3,0,1,2,1,1,0,0,0,0,0,1,0.25,0.25,0.25,0.25,0,0,0.948
148,UJH,105,622,0,46,40,0,1,4,3,1,2,0,0.17,0.019,1.02,8,30984.59,4,3,1,3,3,1,0,0,1,0,0,1,0,0.25,0.25,0.25,0,0.25,0,0.979
40,GJGK,106,582,1,32,57,0,1,1,4,3,5,0,0.15,0.015,0.98,16,10054.53,3,5,0,1,5,4,1,0,0,1,0,0,0,0.25,0.25,0,0.25,0.25,0,0.001
96,HJKHK,107,785,0,36,44,0,0,2,5,3,4,0,0.153,0.015,1.08,8,36976.52,2,3,1,3,1,1,1,0,0,0,1,0,0,0.25,0,0.25,0.25,0.25,0,0.002
96,DXC,108,605,1,33,48,0,1,5,2,3,5,0,0.152,0.014,1.05,8,71862.79,3,3,0,3,2,4,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0,0.003
45,BN,109,479,1,35,48,0,1,9,1,1,5,0.25,0.177,0.023,0.97,8,99449.86,4,3,1,3,1,2,0,1,0,0,0,0,1,0.25,0.25,0.25,0,0,0.25,0.994
43,ABC,110,685,1,30,45,0,0,3,3,5,5,0.25,0.17,0.023,0.86,13,63082.88,4,5,1,3,1,3,0,0,1,0,1,0,0,0.25,0.25,0,0.25,0,0.25,0.003
88,DEF,111,538,1,39,58,0,0,7,5,3,5,0.25,0.154,0.017,1.04,11,27231.26,4,3,0,2,4,5,0,1,0,0,0,1,0,0.25,0,0.25,0.25,0,0.25,0.001
40,GHI,112,562,1,42,55,0,0,2,4,3,5,0.25,0.179,0.022,1,9,86797.41,5,5,1,2,3,1,1,0,0,0,0,0,1,0,0.25,0.25,0.25,0,0.25,0.001
56,JKL,113,675,1,36,38,0,1,9,3,2,3,0.25,0.163,0.021,0.83,7,22994.32,4,4,1,3,5,4,0,0,1,0,0,1,0,0.25,0.25,0,0,0.25,0.25,0.012
90,PQR,114,721,1,28,57,0,0,9,3,2,5,0.25,0.153,0.016,1.03,22,101300.94,3,1,1,3,3,1,0,1,0,0,0,0,1,0.25,0,0.25,0,0.25,0.25,0.975
61,TSY,115,628,0,30,36,0,1,9,3,3,1,0.25,0.164,0.019,0.93,17,74169.13,3,5,1,3,4,5,0,0,1,1,0,0,0,0,0.25,0.25,0,0.25,0.25,0.005
33,UJH,116,668,0,37,39,0,1,6,2,2,4,0.25,0.129,0.012,0.89,24,115638.29,3,3,1,3,4,3,1,0,0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.134
60,GJGK,117,506,0,41,57,0,0,1,4,4,5,0.25,0.14,0.012,1.01,24,31766.3,4,5,1,2,5,1,0,0,1,0,0,1,0,0,0.25,0,0.25,0.25,0.25,0.001
127,HJKHK,118,524,0,31,37,0,0,8,2,1,5,0.25,0.138,0.013,0.97,8,199725.39,4,2,0,2,4,4,0,1,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.993
61,DXC,119,699,1,34,36,0,1,4,4,5,4,0,0.172,0.02,1.01,10,120834.48,5,3,1,2,1,1,0,1,0,0,1,0,0,0.2,0.2,0.2,0.2,0.2,0,0.002
22,BN,120,828,1,34,59,0,0,8,3,2,1,0.2,0.181,0.023,0.96,18,38131.77,4,3,0,2,5,1,0,0,1,0,1,0,0,0.2,0.2,0.2,0.2,0,0.2,0.055
25,ABC,121,674,1,39,58,0,0,6,4,2,4,0.2,0.171,0.022,0.94,11,100130.95,5,3,0,2,3,3,1,0,0,0,0,1,0,0.2,0.2,0.2,0,0.2,0.2,0.019
48,DEF,122,656,0,39,48,0,0,6,3,2,5,0.2,0.153,0.018,0.88,13,141069.88,5,3,1,2,5,1,0,1,0,0,0,1,0,0.2,0.2,0,0.2,0.2,0.2,0.094
85,GHI,123,684,0,48,48,0,0,10,5,4,2,0.2,0.156,0.018,0.97,14,198129.36,4,5,0,3,3,4,0,0,1,0,1,0,0,0.2,0,0.2,0.2,0.2,0.2,0.001
119,JKL,124,625,0,28,42,0,1,3,3,4,3,0.2,0.161,0.018,0.98,21,183646.41,2,3,0,3,5,1,0,0,1,0,0,0,1,0,0.2,0.2,0.2,0.2,0.2,0.002
146,PQR,125,432,1,42,43,0,0,9,1,2,3,0.167,0.173,0.022,0.91,25,110265.24,3,1,0,3,4,3,0,1,0,0,1,0,0,0.167,0.167,0.167,0.167,0.167,0.167,1
101,TSY,126,549,0,52,58,0,0,1,2,2,4,0,0.139,0.01,1.33,25,8636.05,5,3,0,3,5,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0.807
98,UJH,127,625,1,56,37,0,0,0,2,1,3,0,0.143,0.01,1.17,17,46824.08,5,3,1,1,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0.98
137,GJGK,128,828,0,41,59,0,1,7,3,3,2,0,0.173,0.018,1.3,24,171378.77,3,3,1,1,4,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0.025
58,HJKHK,129,770,1,24,38,0,0,9,5,2,2,0,0.096,-0.002,1.39,17,167256.35,2,3,0,1,3,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0.009
125,DXC,130,758,0,34,51,0,0,3,4,2,1,0,0.096,0.001,1.04,17,124226.16,2,3,1,2,5,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0.002
60,BN,131,795,0,33,58,0,0,9,5,3,3,1,0.07,-0.005,1.1,10,114935.21,2,3,1,3,2,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0.004
82,ABC,132,687,1,38,57,0,0,9,3,5,4,0,0.195,0.026,0.97,24,35608.88,5,5,0,2,3,4,0,1,0,1,0,0,0,0.5,0.5,0,0,0,0,0.009
121,DEF,133,686,1,25,56,0,0,1,5,2,3,0,0.164,0.016,1.32,18,16459.37,4,4,1,1,3,5,0,1,0,1,0,0,0,0.5,0,0.5,0,0,0,0.005
1,GHI,134,789,1,39,50,0,1,7,2,2,1,0,0.185,0.022,1.06,15,124411.08,2,5,1,1,4,2,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0.003
98,JKL,135,589,0,50,52,0,1,5,2,4,5,0,0.15,0.015,1.05,12,34941.23,2,4,1,3,2,4,1,0,0,0,0,0,1,0.5,0,0,0.5,0,0,0.001
17,PQR,136,461,0,34,37,0,0,5,4,2,5,0,0.159,0.015,1.17,14,167784.28,4,4,0,1,2,5,0,0,1,0,0,1,0,0,0.5,0,0.5,0,0,0.006
